EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
85098,6/22/2021 4:00:00 AM,1605009,FOOD SERVICE,CHINESE GOURMET EXPRESS,5000,"SHELBYVILLE RD, STE 1635",LOUISVILLE,KY,40207,REGULAR,84,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,1
85098,6/22/2021 4:00:00 AM,1605009,FOOD SERVICE,CHINESE GOURMET EXPRESS,5000,"SHELBYVILLE RD, STE 1635",LOUISVILLE,KY,40207,REGULAR,84,44,"In-use utensils, properly stored",No,In-use food dispensing utensils not properly stored.,605,2
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,1,"PERSON IN CHARGE  PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",Yes,Person-in-charge doesn’t demonstrate food safety knowledge.,605,3
103068,8/7/2020 4:00:00 AM,1556602,FOOD SERVICE,SUBWAY,2300,TERRA CROSSING BLVD STE 101,LOUISVILLE,KY,40245,FOLLOWUP,91,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above. (Meatballs at 75F) (Quarantined and voluntarily discarded) ,605,4
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,46,"Single use/single service articles:  properly stored, used",No,Re-use of single service items (sour cream containers).,605,5
35203,9/10/2020 4:00:00 AM,1561770,FOOD SERVICE,INDI'S RESTAURANT,4419,CANE RUN RD,LOUISVILLE,KY,40216,REGULAR,88,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of mice inside the facility at the drive thru corner.,605,6
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,Beef product being prepared on a cutting board that is sitting on top of an open garbage container.,605,7
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,51,Hot and cold water available; adequate pressure; plumbing maintained,No,No hot running water under pressure.,605,8
85098,6/22/2021 4:00:00 AM,1605009,FOOD SERVICE,CHINESE GOURMET EXPRESS,5000,"SHELBYVILLE RD, STE 1635",LOUISVILLE,KY,40207,REGULAR,84,48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",No,Food/nonfood-contact surface is not smooth and easily cleanable (do not line surfaces with cardboard). ,605,9
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,41,Wiping cloths:  properly used and stored,No,Absorbent cloth being used underneath cutting board(s).  Cloths in use not stored in sanitizing solution.,605,10
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,45,"Utensil, equipment and linens:  properly stored, dried, handled",No,Improper storage of clean utensils (server station). ,605,11
35203,9/10/2020 4:00:00 AM,1561770,FOOD SERVICE,INDI'S RESTAURANT,4419,CANE RUN RD,LOUISVILLE,KY,40216,REGULAR,88,24,TIME AS A PUBLIC HEALTH CONTROL:  PROCEDURES AND RECORDS,Yes,No written procedures for using time as a public health control(cooked chicken wings).,605,12
